Province_State,Country_Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
Fujian,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Gansu,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guangdong,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guangxi,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guizhou,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hainan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hebei,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Heilongjiang,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Henan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hong Kong,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hubei,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hunan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Inner Mongolia,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jiangsu,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jiangxi,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jilin,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Liaoning,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
